ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Cora,Cora,jesu1238,Corachol,,,,,Uto-Aztecan
Huichol,Huichol,sana1280,Huichol,hch,North America,21.954,-104.062,Uto-Aztecan
ProtoNahua,Proto-Nahua,azte1234,Aztec,,,,,Uto-Aztecan
ProtoTepiman,Tepiman,tepi1240,Tepiman,,,,,Uto-Aztecan
ProtoCahita,Cahita,cahi1243,Cahitan,,,,,Uto-Aztecan
ProtoTarahumaran,Tarahumaran,tara1321,Tarahumaran,,,,,Uto-Aztecan
ProtoCoracholNahua,Proto-Corachol-Nahua,cora1261,Corachol-Aztecan,,,,,Uto-Aztecan
ProtoUtoAztecan,PUA,utoa1244,Uto-Aztecan,,,,,Uto-Aztecan
ProtoSouthernUtoAztecan,SUA,sout3136,Southern Uto-Aztecan,,,,,Uto-Aztecan
