LEXEME	REPLACEMENT	Comment
mu’i:- PUA	mu’i:	Invalid multi-word string: mu’i:- PUA (1 cases)
heme tubar	heme	Invalid multi-word string: heme tubar (1 cases)
wo- SUA	wo	Invalid multi-word string: wo- SUA (1 cases)
wɨL- SUA	wɨL	Invalid multi-word string: wɨL- SUA (1 cases)
hukwa SUA	hukwa	Invalid multi-word string: hukwa SUA (2 cases)
pɨttɨ PUA	pɨttɨ	Invalid multi-word string: pɨttɨ PUA (1 cases)
waki PUA	waki	Invalid multi-word string: waki PUA (1 cases)
sep- PUA	sep	Invalid multi-word string: sep- PUA (1 cases)
sinwa PUA	sinwa	Invalid multi-word string: sinwa PUA (2 cases)
taká ‘cuerpo’	taká	Invalid multi-word string: taká ‘cuerpo’ (1 cases)
oki¢i ‘girl’ SUA	oki¢i	Invalid multi-word string: oki¢i ‘girl’ SUA (2 cases)
musi SUA	musi	Invalid multi-word string: musi SUA (2 cases)
wi¢iki PUA	wi¢iki	Invalid multi-word string: wi¢iki PUA (1 cases)
¢u SUA	¢u	Invalid multi-word string: ¢u SUA (1 cases)
atɨ PUA	atɨ	Invalid multi-word string: atɨ PUA (1 cases)
kowa PUA	kowa	Invalid multi-word string: kowa PUA (1 cases)
kua-wi SUA	kua-wi	Invalid multi-word string: kua-wi SUA (1 cases)
po’owa PUA	po’owa	Invalid multi-word string: po’owa PUA (2 cases)
sàmwá SUA	sàmwá	Invalid multi-word string: sàmwá SUA (1 cases)
nawa SUA	nawa	Invalid multi-word string: nawa SUA (1 cases)
pa¢i PUA	pa¢i	Invalid multi-word string: pa¢i PUA (1 cases)
yes <pauso	yes	Invalid multi-word string: yes <pauso (2 cases)
pau PUA	pau	Invalid multi-word string: pau PUA (1 cases)
ohomɨ PUA	ohomɨ	Invalid multi-word string: ohomɨ PUA (1 cases)
wip PUA	wip	Invalid multi-word string: wip PUA (1 cases)
tawari ’egg	tawari	Invalid multi-word string: tawari ’egg (1 cases)
tapari ’turkey hen’	tapari	Invalid multi-word string: tapari ’turkey hen’ (1 cases)
kwasi PUA	kwasi	Invalid multi-word string: kwasi PUA (1 cases)
ana PUA	ana	Invalid multi-word string: ana PUA (3 cases)
¢omi PUA	¢omi	Invalid multi-word string: ¢omi PUA (2 cases)
muu PUA	muu	Invalid multi-word string: muu PUA (1 cases)
nakas <nakasV	nakas	Invalid multi-word string: nakas <nakasV (1 cases)
nakka PUA	nakka	Invalid multi-word string: nakka PUA (1 cases)
yeka SUA	yeka	Invalid multi-word string: yeka SUA (2 cases)
tame SUA	tame	Invalid multi-word string: tame SUA (1 cases)
nenɨ SUA	?nenɨ	Invalid multi-word string: nenɨ SUA (1 cases)
ikši <kèsi	ikši	Invalid multi-word string: ikši <kèsi (1 cases)
taŋa PUA	taŋa	Invalid multi-word string: taŋa PUA (2 cases)
ma PUA	ma	Invalid multi-word string: ma PUA (1 cases)
ihte- < hòté	ihte	Invalid multi-word string: ihte- < hòté (1 cases)
