Grapheme	IPA	CLTS	Frequency	Examples
?	NULL	?	4	?bástakɨra’i?, ?tabí?
^-	NULL  	    		
-$	NULL			
C	ts			
I	i	?	1	¢i¢I
L	ʟ	voiced velar lateral approximant consonant	1	ɨLida
-	+			
N	ŋ	voiced velar nasal consonant	2	toNa
ŋ	ŋ			
a	a	unrounded open front vowel	339	-wa¢i-, ?bástakɨra’i?, ?tabí?
a:	aː	long unrounded open front vowel	12	a:-, ha:, kwa:
aa	aː	long unrounded open front vowel	8	aatɨ, baakot, daak
ai	ai	from unrounded open front to unrounded close front diphthong	17	aiȿɨa, dɨvirai, hai
aiya	ai j a	unrounded open front vowel	1	maiya
aiye	ai j e	unrounded open front vowel	1	taʂaiye
au	a u	from unrounded open front to rounded close back diphthong	2	tau
aye	a j e	unrounded open front vowel	1	¢iɨraye
ayo	a j o	unrounded open front vowel	1	ye:wayo-
aá	a	unrounded open front vowel	3	naá, naámu, taáta
aí	a i	unrounded open front vowel	1	haítɨri
aú	a u	unrounded open front vowel	1	taúmwa
aɨ	a ɨ	from unrounded open front to unrounded close central diphthong	3	haɨtɨ, saɨ́, tiʂaɨ
aɨ́	a ɨ			
y	j			
b	b	voiced bilabial stop consonant	20	-bé’ene, -téhebee, ?bástakɨra’i?
bw	bʷ	labialized voiced bilabial stop consonant	6	bwa, bwasia, bweru
c	ts	voiceless alveolar affricate consonant	1	cóoni
d	d	voiced alveolar stop consonant	9	daak, dahi, duku
e	e	unrounded close-mid front vowel	122	-bé’ene, -téhebee, -yeiwe
e:	eː	long unrounded close-mid front vowel	10	-te:-, e-te:wi, e:wa-yo
e:ya	eː j a	unrounded close-mid front vowel	1	we:ya-k
e:yi	eː j i	unrounded close-mid front vowel	1	we:yi
ee	eː	long unrounded close-mid front vowel	10	-téhebee, beewa, eeka
eiya	ei j a	unrounded close-mid front vowel	2	¢eiya, ʂeiya
eye	e j e	unrounded close-mid front vowel	1	keye
eé	eː	unrounded close-mid front vowel	2	neéčira’a, teé
g	g	voiced velar stop consonant	18	a’aga, gak-, gii
h	h	voiceless glottal fricative consonant	93	-téhebee, ahmo, bahi
hs	h s	voiceless glottal fricative consonant	1	wahsi
hw	h w	labialized voiceless glottal fricative consonant	2	ihwi-
i	i	unrounded close front vowel	239	-wa¢i-, -í’i-, ?bástakɨra’i?
i:	iː	long unrounded close front vowel	4	i:, i:š, wi:ki
