NUMBER	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	No	1240	NOT
2	Muchos	1198	MANY
3	Uno	1493	ONE
4	Dos	1498	TWO
5	Grande	1202	BIG
6	Viejo	1229	OLD
7	Pequeño	1246	SMALL
8	largo	1203	LONG
9	Nuevo	1231	NEW
10	Bueno	1035	GOOD
11	Pesado	1210	HEAVY
12	Seco	1398	DRY
13	Frio (hace frio)	2483	COLD (OF WEATHER)	
14	Caliente	1286	HOT
15	Mujer	962	WOMAN
16	Hombre	1554	MAN
17	Persona	683	PERSON
18	Pez	227	FISH
19	Pájaro	937	BIRD
20	Perro	2009	DOG
21	Piojo	1392	LOUSE
22	Vibora	730	SNAKE		
23	Arbol	906	TREE
24	Corteza	1204	BARK
25	Hoja	628	LEAF
26	Raíz	670	ROOT
27	Semilla	714	SEED
28	Sangre	946	BLOOD
29	Carne	634	MEAT
30	Piel	763	SKIN
31	Hueso	1394	BONE
32	Grasa	323	FAT (ORGANIC SUBSTANCE)
33	Huevo	744	EGG
34	Cuerno	1393	HORN (ANATOMY)
35	Cola	1220	TAIL
36	Pluma	1201	FEATHER
37	Cabello	2648	HAIR (HEAD)
38	Cabeza	1256	HEAD
39	Oreja	1247	EAR
40	Ojo	1248	EYE
41	Nariz	1221	NOSE
42	Boca	674	MOUTH
43	Diente	1380	TOOTH
44	Lengua	1205	TONGUE
45	Uña	1896	FINGERNAIL OR TOENAIL
46	Pie	1301	FOOT
47	Rodilla	1371	KNEE
48	Mano	1277	HAND
49	Barriga	1251	BELLY
50	Ombligo	1838	NAVEL
51	Cuello	1333	NECK
52	Teta/pecho	1402	BREAST
53	Corazon	1223	HEART	
54	Higado	1224	LIVER		
55	Tomar	1401	DRINK
56	Comer	1336	EAT
57	Morder	1403	BITE
58	Vomitar	1278	VOMIT
59	Ver	1409	SEE
60	Oír	1408	HEAR
61	Saber	1410	KNOW (SOMETHING)
62	Dormir	1585	SLEEP
63	Morir	1494	DIE
64	Matar	1417	KILL
65	Volar	1441	FLY (MOVE THROUGH AIR)
66	Caminar	1443	WALK
67	Come	1446	COME
68	Acostado	1411	LIE (REST)
69	Sentado	1416	SIT
70	Parado	1442	STAND
71	Dar	1447	GIVE
72	Cantar	1261	SING
73	Sol	1343	SUN
74	Luna	1313	MOON
75	Estrella	1430	STAR
76	Cielo	1732	SKY
77	Agua	948	WATER
78	Viento	960	WIND
79	Llúvia	658 	RAIN (PRECIPITATION)
80	Nieve/hielo	784	SNOW
81	Piedra	857	STONE
82	Arena	671	SAND
83	Tierra	1228	EARTH (SOIL)
84	Sal	1274	SALT
85	Nube	1489	CLOUD
86	Humo	778	SMOKE (EXHAUST)
87	Fuego	221	FIRE
88	Ceniza	646	ASH
89	Arder/quemar	2102	BURN
90	Camino	2252	PATH
91	Cerro	639	MOUNTAIN
92	Rojo	156	RED
93	Verde	1425	GREEN
94	Amarillo	1424	YELLOW
95	Blanco	1335	WHITE
96	Negro	163	BLACK
97	Noche	1233	NIGHT
98	Nombre	1405	NAME
99	Año	1226	YEAR
100	Mecate/soga	1218	ROPE
