 	Cora 	Huichol 	Nahua 	Tepiman 	Cahitan 	Tarahumaran 	CoracholNahua 	PUA 
75.  	a 	a 	A 	B 	C 	B 	A 	A 
76.  	A 	B 	C 	C 	C 	C 	? 	C 
77.  	a 	a 	a 	B 	A 	A 	a 	A 
78.  	A 	A 	A 	B 	A 	A 	? 	A 
79.  	a 	a 	A 	B 	B 	B 	A 	A 
80.  	A 	B 	A 	C 	D 	C 	A 	? 
81.  	A 	A 	A 	B 	A 	A 	A 	A 
82.  	A 	A 	a 	B 	A 	A 	A 	A 
83.  	A 	A 	B/(a) 	B 	A 	A 	A 	A/B 
84.  	A 	A 	B 	A 	A 	A 	? 	A(B) 
85.  	A 	A 	B 	? 	C 	D 	? 	A/B/D 
86.  	A 	A 	B/(A) 	A 	A 	C 	? 	A 
87.  	A 	A 	A 	A 	A/B 	B 	? 	A/B 
88.  	A 	A 	A 	B 	C 	C 	A 	A/C 
89.  	? 	a 	a/A 	B 	A 	A 	a 	? 
90.  	a 	a 	a 	A 	A 	A 	a 	A 
91.  	A 	B 	C 	A 	D 	D 	? 	A 
92.  	A 	B 	A/C 	D 	E 	B 	? 	B 
93.  	A 	b 	b 	B 	B 	B 	b 	B 
94.  	A 	B 	C 	D 	E 	E 	? 	C/E 
95.  	A 	B 	B 	B 	B 	B 	? 	A/B 
96.  	A 	B 	C/(B) 	D 	D 	? 	? 	C/B 
97.  	A 	A 	B 	A 	A 	A 	? 	A/B 
98.  	a 	A 	A 	A 	A 	A 	A 	A 
99.  	A 	B 	A/B 	B 	C 	D 	A/B? 	B 
100. 	A 	B 	C 	D 	B 	B 	? 	B 
